SEASON,TEAM,ACTUAL_WINS,SIM_ALL_WINS,ERR_ALL,SIM_NOTANK_WINS,ERR_NOTANK
2017-18,WAS,43,45.973,2.972999999999999,46.05,3.049999999999997
2017-18,OKC,48,45.913,2.0870000000000037,46.135,1.865000000000002
2017-18,LAC,42,44.092,2.0919999999999987,44.424,2.4239999999999995
2017-18,IND,48,44.018,3.9819999999999993,43.554,4.445999999999998
2017-18,MIA,44,43.947,0.0529999999999972,43.743,0.2569999999999979
2017-18,POR,49,43.919,5.081000000000003,44.007,4.993000000000002
2017-18,MIL,44,43.894,0.1060000000000016,44.085,0.0850000000000008
2017-18,UTA,48,43.836,4.1640000000000015,44.372,3.628
2017-18,MIN,47,43.641,3.3590000000000018,43.813,3.1869999999999976
2017-18,PHI,52,43.502,8.497999999999998,43.669,8.331000000000003
2017-18,CLE,50,43.288,6.712000000000003,43.034,6.966000000000001
2017-18,DEN,46,42.716,3.283999999999999,43.138,2.862000000000002
2017-18,NOP,48,41.455,6.545000000000002,42.172,5.828000000000003
2017-18,DET,39,40.146,1.1460000000000008,40.142,1.142000000000003
2017-18,CHA,36,38.085,2.085000000000001,37.59,1.5900000000000034
2017-18,LAL,35,35.679,0.679000000000002,36.274,1.274000000000001
2017-18,NYK,29,34.401,5.401000000000003,34.768,5.768000000000001
2017-18,DAL,24,33.71,9.71,34.202,10.201999999999998
2017-18,ORL,25,32.617,7.616999999999997,32.841,7.841000000000001
2017-18,ATL,24,31.884,7.884,31.57,7.57
2017-18,BKN,28,31.871,3.870999999999999,32.319,4.319000000000003
2017-18,CHI,27,31.007,4.0070000000000014,31.203,4.202999999999999
2017-18,MEM,22,30.813,8.812999999999999,30.6,8.600000000000001
2017-18,SAC,27,28.08,1.0799999999999983,27.334,0.3339999999999996
2017-18,PHX,21,27.425,6.425000000000001,26.602,5.602
2018-19,MIL,60,56.746,3.253999999999998,56.459,3.540999999999997
2018-19,TOR,58,55.074,2.926000000000002,54.676,3.323999999999998
2018-19,GSW,57,52.064,4.936,52.094,4.905999999999999
2018-19,UTA,50,49.882,0.1180000000000021,49.561,0.439
2018-19,BOS,49,49.055,0.0549999999999997,48.94,0.0600000000000022
2018-19,HOU,53,48.914,4.085999999999999,48.674,4.3260000000000005
2018-19,DEN,54,48.797,5.203000000000003,48.813,5.186999999999998
2018-19,OKC,49,48.727,0.2730000000000032,48.505,0.4949999999999974
2018-19,IND,48,48.546,0.5459999999999994,48.146,0.1460000000000008
2018-19,PHI,51,48.479,2.521000000000001,48.545,2.4549999999999983
2018-19,POR,53,48.449,4.551000000000002,47.275,5.725000000000001
2018-19,SAS,48,44.334,3.665999999999997,44.689,3.311
2018-19,LAC,48,43.758,4.241999999999997,43.373,4.627000000000002
2018-19,DET,41,41.748,0.7479999999999976,41.336,0.3359999999999985
2018-19,MIA,39,41.713,2.713000000000001,41.772,2.7719999999999985
2018-19,CHA,39,41.265,2.265000000000001,41.94,2.9399999999999977
2018-19,NOP,33,41.031,8.030999999999999,41.858,8.857999999999997
2018-19,MIN,36,39.897,3.8969999999999994,40.392,4.392000000000003
2018-19,SAC,39,39.757,0.7569999999999979,40.127,1.1270000000000024
2018-19,LAL,37,38.828,1.828000000000003,39.255,2.2550000000000026
2018-19,BKN,42,37.746,4.253999999999998,38.087,3.9129999999999967
2018-19,WAS,32,36.568,4.567999999999998,35.247,3.247
2018-19,ORL,42,35.133,6.866999999999997,34.814,7.186
2018-19,DAL,33,34.963,1.963000000000001,35.146,2.146000000000001
2018-19,MEM,33,33.171,0.1709999999999993,33.73,0.7299999999999969
